,Adj Close,Close,High,Low,Open,Volume
2014-08-01,42.775055,45.43,45.470001,42.209999,43.209999,25501300.0
2014-09-02,43.650703,46.360001,47.57,44.529999,45.43,42564700.0
2014-10-01,44.206226,46.950001,46.970001,42.099998,46.27,38656900.0
2014-11-03,45.299889,47.810001,50.049999,46.73,46.889999,28660000.0
2014-12-01,44.011292,46.450001,49.060001,44.900002,47.880001,29469200.0
2015-01-02,38.278931,40.400002,47.91,40.349998,46.66,49846300.0
2015-02-02,41.843475,43.849998,44.299999,40.23,40.59,36332400.0
2015-03-02,38.799446,40.66,44.189999,40.540001,43.669998,39055500.0
2015-04-01,46.414291,48.639999,49.540001,40.119999,40.599998,44726700.0
2015-05-01,45.006348,46.860001,48.91,46.02,48.580002,33479600.0
2015-06-01,42.403549,44.150002,47.77,43.939999,47.060001,31852300.0
2015-07-01,44.85268,46.700001,47.400002,43.32,44.459999,34378800.0
2015-08-03,42.074104,43.52,48.41,39.720001,46.98,38613300.0
2015-09-01,42.789516,44.259998,45.0,41.66,42.169998,33716100.0
2015-10-01,50.891102,52.639999,54.369999,43.75,44.75,41050300.0
2015-11-02,52.898453,54.349998,54.98,52.529999,52.849998,35943400.0
2015-12-01,53.998276,55.48,56.849998,53.68,54.41,37199500.0
2016-01-04,53.61869,55.09,55.389999,49.099998,54.32,53181300.0
2016-02-01,53.24884,54.709999,55.09,54.5,54.880001,88417000.0
2016-03-01,54.140907,55.23,55.639999,50.580002,50.970001,30339600.0
2016-04-01,48.8866,49.869999,56.77,49.349998,55.049999,35561900.0
2016-05-02,52.318272,53.0,53.0,49.459999,50.0,27058000.0
2016-06-01,50.51181,51.169998,52.950001,48.040001,52.439999,38721200.0
2016-07-01,55.950935,56.68,57.290001,50.389999,51.130001,33907300.0
2016-08-01,57.074429,57.459999,58.700001,56.139999,56.599998,21214700.0
2016-09-01,57.21349,57.599998,58.189999,55.610001,57.009998,26492300.0
2016-10-03,59.517921,59.919998,61.369999,56.32,57.41,30536900.0
2016-11-01,60.529999,60.529999,61.259998,57.279999,59.970001,29976900.0
